eotms	MidBlue    	0.75 0.15 0  0	Empirically Oriented Theoretical Morphology and Syntax
eotms-ig	MidBlue	0.75 0.15 0  0	Implemented Grammars
sidl	RichGreen	0.6 0 0.9 0.35	Studies in Diversity Linguistics
algad	LightOrange	0 0.50  1 0	African Language Grammars and Dictionaries
tmnlp	DarkBlue	0.9 0.5 0.15  0.3	Translation and Multilingual Natural Language Processing
lnls	Yellow	0 0.25  1 0	Lecture Notes in Language Sciences
mcnc	Red	0.05  1 0.8 0	Monographs on Comparative Niger-Congo
silp	LightWine	0.3 1 0.6 0	Studies in Laboratory Phonology
tdgi	MidDarkBlue	0.9 0.4 0.05  0	Topics at the Discourse Grammar Interface
cmle	NightBlue	1 0.47  0.22  0.68	Computational Models of Language Evolution
